ano,decil,region,comuna,poblacion,idse,ipc,pobreza,escolaridad,vivienda_material_bueno,vivienda_alcantarillado,esperanza_de_vida,índice_desarrollo_humano,avpp_tasa,swaroop,mortalidad_infantil
2000,9,12,porvenir,4.5,0.581,318.4,5.1,7.9,75.9,75.8,56.3,0.409,68.2,63.5,0.0
2004,9,12,porvenir,4.8,0.617,338.3,5.4,8.4,80.7,80.6,59.8,0.434,72.5,67.5,0.0
2008,9,12,porvenir,5.0,0.653,358.2,5.8,8.9,85.4,85.3,63.4,0.460,76.8,71.5,0.0
2016,9,12,porvenir,6.4,0.835,457.7,7.4,11.4,109.1,109.0,81.0,0.588,98.1,91.3,0.0
2012,9,13,la cisterna,71.4,0.724,235.0,9.5,11.2,90.2,100.0,77.4,0.645,85.3,83.7,6.9
1992,9,13,la cisterna,46.4,0.471,152.8,6.2,7.3,58.6,65.0,50.3,0.419,55.4,54.4,4.5
1996,9,13,la cisterna,53.6,0.543,176.2,7.1,8.4,67.7,75.0,58.1,0.484,64.0,62.8,5.2
2000,9,13,la cisterna,57.1,0.579,188.0,7.6,9.0,72.2,80.0,61.9,0.516,68.2,67.0,5.5
2004,9,13,la cisterna,60.7,0.615,199.8,8.1,9.5,76.7,85.0,65.8,0.548,72.5,71.1,5.9
2008,9,13,la cisterna,64.3,0.652,211.5,8.6,10.1,81.2,90.0,69.7,0.581,76.8,75.3,6.2
2016,9,13,la cisterna,82.1,0.833,270.2,10.9,12.9,103.7,115.0,89.0,0.742,98.1,96.3,7.9
2012,9,2,calama,148.8,0.717,269.3,8.5,10.9,85.0,98.9,76.2,0.625,87.2,63.4,9.7
1992,9,2,calama,96.7,0.466,175.0,5.5,7.1,55.2,64.3,49.5,0.406,56.7,41.2,6.3
1996,9,2,calama,111.6,0.538,202.0,6.4,8.2,63.8,74.2,57.2,0.469,65.4,47.5,7.3
2000,9,2,calama,119.0,0.574,215.4,6.8,8.7,68.0,79.1,61.0,0.500,69.8,50.7,7.8
2004,9,2,calama,126.5,0.609,228.9,7.2,9.3,72.2,84.1,64.8,0.531,74.1,53.9,8.2
2008,9,2,calama,133.9,0.645,242.4,7.7,9.8,76.5,89.0,68.6,0.562,78.5,57.1,8.7
2016,9,2,calama,171.1,0.825,309.7,9.8,12.5,97.7,113.7,87.6,0.719,100.3,72.9,11.2
2012,9,2,antofagasta,373.0,0.714,256.5,7.1,11.0,80.6,99.0,76.1,0.627,75.1,72.2,7.3
1992,9,2,antofagasta,242.5,0.464,166.7,4.6,7.2,52.4,64.4,49.5,0.408,48.8,46.9,4.7
1996,9,2,antofagasta,279.8,0.535,192.4,5.3,8.2,60.4,74.2,57.1,0.470,56.3,54.2,5.5
2000,9,2,antofagasta,298.4,0.571,205.2,5.7,8.8,64.5,79.2,60.9,0.502,60.1,57.8,5.8
2004,9,2,antofagasta,317.1,0.607,218.0,6.0,9.3,68.5,84.1,64.7,0.533,63.8,61.4,6.2
2008,9,2,antofagasta,335.7,0.643,230.8,6.4,9.9,72.5,89.1,68.5,0.564,67.6,65.0,6.6
2016,9,2,antofagasta,428.9,0.821,295.0,8.2,12.6,92.7,113.8,87.5,0.721,86.4,83.0,8.4
2012,9,5,quilpué,161.0,0.712,210.8,13.0,11.7,90.2,97.4,78.7,0.663,61.8,83.2,3.8
1992,9,5,quilpué,104.7,0.463,137.0,8.5,7.6,58.6,63.3,51.2,0.431,40.2,54.1,2.5
1996,9,5,quilpué,120.8,0.534,158.1,9.8,8.8,67.7,73.1,59.0,0.497,46.3,62.4,2.8
2000,9,5,quilpué,128.8,0.570,168.6,10.4,9.4,72.2,77.9,63.0,0.530,49.4,66.6,3.0
2004,9,5,quilpué,136.8,0.605,179.2,11.0,9.9,76.7,82.8,66.9,0.564,52.5,70.7,3.2
2008,9,5,quilpué,144.9,0.641,189.7,11.7,10.5,81.2,87.7,70.8,0.597,55.6,74.9,3.4
2016,9,5,quilpué,185.1,0.819,242.4,14.9,13.5,103.7,112.0,90.5,0.762,71.1,95.7,4.4
2012,9,3,diego de almagro,11.7,0.700,319.8,7.3,10.6,81.0,91.7,76.1,0.627,83.9,81.7,8.3
1992,9,3,diego de almagro,7.6,0.455,207.9,4.7,6.9,52.6,59.6,49.5,0.408,54.5,53.1,5.4
1996,9,3,diego de almagro,8.8,0.525,239.9,5.5,7.9,60.8,68.8,57.1,0.470,62.9,61.3,6.2
2000,9,3,diego de almagro,9.4,0.560,255.8,5.8,8.5,64.8,73.4,60.9,0.502,67.1,65.4,6.6
2004,9,3,diego de almagro,9.9,0.595,271.8,6.2,9.0,68.8,77.9,64.7,0.533,71.3,69.4,7.1
2008,9,3,diego de almagro,10.5,0.630,287.8,6.6,9.5,72.9,82.5,68.5,0.564,75.5,73.5,7.5
2016,9,3,diego de almagro,13.5,0.805,367.8,8.4,12.2,93.1,105.5,87.5,0.721,96.5,94.0,9.5
2012,9,2,maría elena,3.7,0.698,218.9,6.1,10.9,77.6,98.1,72.0,0.536,74.6,66.7,0.0
1992,9,2,maría elena,2.4,0.454,142.3,4.0,7.1,50.4,63.8,46.8,0.348,48.5,43.4,0.0
1996,9,2,maría elena,2.8,0.523,164.2,4.6,8.2,58.2,73.6,54.0,0.402,55.9,50.0,0.0
2000,9,2,maría elena,3.0,0.558,175.1,4.9,8.7,62.1,78.5,57.6,0.429,59.7,53.4,0.0
2004,9,2,maría elena,3.1,0.593,186.1,5.2,9.3,66.0,83.4,61.2,0.456,63.4,56.7,0.0
2008,9,2,maría elena,3.3,0.628,197.0,5.5,9.8,69.8,88.3,64.8,0.482,67.1,60.0,0.0
2016,9,2,maría elena,4.3,0.803,251.7,7.0,12.5,89.2,112.8,82.8,0.616,85.8,76.7,0.0
2012,9,1,iquique,186.0,0.698,227.6,10.2,11.1,81.8,98.8,77.2,0.631,82.1,73.0,8.9
1992,9,1,iquique,120.9,0.454,147.9,6.6,7.2,53.2,64.2,50.2,0.410,53.4,47.5,5.8
1996,9,1,iquique,139.5,0.523,170.7,7.6,8.3,61.3,74.1,57.9,0.473,61.6,54.8,6.7
2000,9,1,iquique,148.8,0.558,182.1,8.2,8.9,65.4,79.0,61.8,0.505,65.7,58.4,7.1
2004,9,1,iquique,158.1,0.593,193.5,8.7,9.4,69.5,84.0,65.6,0.536,69.8,62.0,7.6
2008,9,1,iquique,167.4,0.628,204.8,9.2,10.0,73.6,88.9,69.5,0.568,73.9,65.7,8.0
2016,9,1,iquique,213.9,0.803,261.7,11.7,12.8,94.1,113.6,88.8,0.726,94.4,83.9,10.2
2012,9,2,mejillones,11.1,0.697,228.8,5.8,10.1,88.6,99.1,74.9,0.571,59.1,65.8,2.1
1992,9,2,mejillones,7.2,0.453,148.7,3.8,6.6,57.6,64.4,48.7,0.371,38.4,42.8,1.4
1996,9,2,mejillones,8.3,0.523,171.6,4.3,7.6,66.4,74.3,56.2,0.428,44.3,49.3,1.6
2000,9,2,mejillones,8.9,0.558,183.0,4.6,8.1,70.9,79.3,59.9,0.457,47.3,52.6,1.7
2004,9,2,mejillones,9.4,0.592,194.5,4.9,8.6,75.3,84.2,63.7,0.485,50.2,55.9,1.8
2008,9,2,mejillones,10.0,0.627,205.9,5.2,9.1,79.7,89.2,67.4,0.514,53.2,59.2,1.9
2016,9,2,mejillones,12.8,0.802,263.1,6.7,11.6,101.9,114.0,86.1,0.657,68.0,75.7,2.4
2012,9,6,rancagua,248.0,0.696,227.4,9.0,10.6,87.2,98.1,76.6,0.609,80.9,72.2,8.1
1992,9,6,rancagua,161.2,0.452,147.8,5.9,6.9,56.7,63.8,49.8,0.396,52.6,46.9,5.3
1996,9,6,rancagua,186.0,0.522,170.6,6.8,7.9,65.4,73.6,57.4,0.457,60.7,54.2,6.1
2000,9,6,rancagua,198.4,0.557,181.9,7.2,8.5,69.8,78.5,61.3,0.487,64.7,57.8,6.5
2004,9,6,rancagua,210.8,0.592,193.3,7.6,9.0,74.1,83.4,65.1,0.518,68.8,61.4,6.9
2008,9,6,rancagua,223.2,0.626,204.7,8.1,9.5,78.5,88.3,68.9,0.548,72.8,65.0,7.3
2016,9,6,rancagua,285.2,0.800,261.5,10.3,12.2,100.3,112.8,88.1,0.700,93.0,83.0,9.3
2012,8,13,quilicura,213.6,0.693,191.5,11.5,11.0,88.8,99.7,78.2,0.633,47.6,61.3,7.1
1992,8,13,quilicura,138.8,0.450,124.5,7.5,7.2,57.7,64.8,50.8,0.411,30.9,39.8,4.6
1996,8,13,quilicura,160.2,0.520,143.6,8.6,8.2,66.6,74.8,58.7,0.475,35.7,46.0,5.3
2000,8,13,quilicura,170.9,0.554,153.2,9.2,8.8,71.0,79.8,62.6,0.506,38.1,49.0,5.7
2004,8,13,quilicura,181.6,0.589,162.8,9.8,9.3,75.5,84.7,66.5,0.538,40.5,52.1,6.0
2008,8,13,quilicura,192.2,0.624,172.3,10.3,9.9,79.9,89.7,70.4,0.570,42.8,55.2,6.4
2016,8,13,quilicura,245.6,0.797,220.2,13.2,12.6,102.1,114.7,89.9,0.728,54.7,70.5,8.2
2012,8,5,concón,59.9,0.689,270.5,14.1,10.7,86.0,99.0,80.2,0.675,35.0,74.9,6.9
1992,8,5,concón,38.9,0.448,175.8,9.2,7.0,55.9,64.4,52.1,0.439,22.8,48.7,4.5
1996,8,5,concón,44.9,0.517,202.9,10.6,8.0,64.5,74.2,60.2,0.506,26.2,56.2,5.2
2000,8,5,concón,47.9,0.551,216.4,11.3,8.6,68.8,79.2,64.2,0.540,28.0,59.9,5.5
2004,8,5,concón,50.9,0.586,229.9,12.0,9.1,73.1,84.1,68.2,0.574,29.8,63.7,5.9
2008,8,5,concón,53.9,0.620,243.5,12.7,9.6,77.4,89.1,72.2,0.608,31.5,67.4,6.2
2016,8,5,concón,68.9,0.792,311.1,16.2,12.3,98.9,113.8,92.2,0.776,40.2,86.1,7.9
2012,8,13,estación central,111.7,0.686,207.3,11.5,10.6,90.6,98.5,76.3,0.587,98.7,77.8,8.6
1992,8,13,estación central,72.6,0.446,134.7,7.5,6.9,58.9,64.0,49.6,0.382,64.2,50.6,5.6
1996,8,13,estación central,83.8,0.515,155.5,8.6,7.9,67.9,73.9,57.2,0.440,74.0,58.3,6.4
2000,8,13,estación central,89.4,0.549,165.8,9.2,8.5,72.5,78.8,61.0,0.470,79.0,62.2,6.9
2004,8,13,estación central,94.9,0.583,176.2,9.8,9.0,77.0,83.7,64.9,0.499,83.9,66.1,7.3
2008,8,13,estación central,100.5,0.617,186.6,10.3,9.5,81.5,88.7,68.7,0.528,88.8,70.0,7.7
2016,8,13,estación central,128.5,0.789,238.4,13.2,12.2,104.2,113.3,87.7,0.675,113.5,89.5,9.9
2012,8,2,sierra gorda,3.7,0.684,259.3,2.9,9.6,78.4,98.4,73.4,0.548,35.4,60.0,20.8
1992,8,2,sierra gorda,2.4,0.445,168.5,1.9,6.2,51.0,64.0,47.7,0.356,23.0,39.0,13.5
1996,8,2,sierra gorda,2.8,0.513,194.5,2.2,7.2,58.8,73.8,55.1,0.411,26.5,45.0,15.6
2000,8,2,sierra gorda,3.0,0.547,207.4,2.3,7.7,62.7,78.7,58.7,0.438,28.3,48.0,16.6
2004,8,2,sierra gorda,3.1,0.581,220.4,2.5,8.2,66.6,83.6,62.4,0.466,30.1,51.0,17.7
2008,8,2,sierra gorda,3.3,0.616,233.4,2.6,8.6,70.6,88.6,66.1,0.493,31.9,54.0,18.7
2016,8,2,sierra gorda,4.3,0.787,298.2,3.3,11.0,90.2,113.2,84.4,0.630,40.7,69.0,23.9
2012,8,13,macul,97.6,0.683,204.1,11.9,11.0,82.8,97.8,79.0,0.652,74.7,82.0,6.5
1992,8,13,macul,63.4,0.444,132.7,7.7,7.2,53.8,63.6,51.4,0.424,48.6,53.3,4.2
1996,8,13,macul,73.2,0.512,153.1,8.9,8.2,62.1,73.3,59.2,0.489,56.0,61.5,4.9
2000,8,13,macul,78.1,0.546,163.3,9.5,8.8,66.2,78.2,63.2,0.522,59.8,65.6,5.2
2004,8,13,macul,83.0,0.581,173.5,10.1,9.3,70.4,83.1,67.1,0.554,63.5,69.7,5.5
2008,8,13,macul,87.8,0.615,183.7,10.7,9.9,74.5,88.0,71.1,0.587,67.2,73.8,5.9
2016,8,13,macul,112.2,0.785,234.7,13.7,12.6,95.2,112.5,90.8,0.750,85.9,94.3,7.5
2012,8,8,chiguayante,123.7,0.682,255.3,14.9,11.5,71.5,98.0,79.2,0.674,46.3,75.1,8.9
1992,8,8,chiguayante,80.4,0.443,165.9,9.7,7.5,46.5,63.7,51.5,0.438,30.1,48.8,5.8
1996,8,8,chiguayante,92.8,0.512,191.5,11.2,8.6,53.6,73.5,59.4,0.506,34.7,56.3,6.7
2000,8,8,chiguayante,99.0,0.546,204.2,11.9,9.2,57.2,78.4,63.4,0.539,37.0,60.1,7.1
2004,8,8,chiguayante,105.1,0.580,217.0,12.7,9.8,60.8,83.3,67.3,0.573,39.4,63.8,7.6
2008,8,8,chiguayante,111.3,0.614,229.8,13.4,10.3,64.4,88.2,71.3,0.607,41.7,67.6,8.0
2016,8,8,chiguayante,142.3,0.784,293.6,17.1,13.2,82.2,112.7,91.1,0.775,53.2,86.4,10.2
2012,8,13,talagante,77.6,0.682,238.4,10.1,10.5,87.4,94.2,78.1,0.633,55.7,73.6,6.0
1992,8,13,talagante,50.4,0.443,155.0,6.6,6.8,56.8,61.2,50.8,0.411,36.2,47.8,3.9
1996,8,13,talagante,58.2,0.512,178.8,7.6,7.9,65.6,70.7,58.6,0.475,41.8,55.2,4.5
2000,8,13,talagante,62.1,0.546,190.7,8.1,8.4,69.9,75.4,62.5,0.506,44.6,58.9,4.8
2004,8,13,talagante,66.0,0.580,202.6,8.6,8.9,74.3,80.1,66.4,0.538,47.3,62.6,5.1
2008,8,13,talagante,69.8,0.614,214.6,9.1,9.5,78.7,84.8,70.3,0.570,50.1,66.2,5.4
2016,8,13,talagante,89.2,0.784,274.2,11.6,12.1,100.5,108.3,89.8,0.728,64.1,84.6,6.9
2012,8,5,viña del mar,290.8,0.680,236.8,16.5,11.3,82.6,97.5,77.8,0.626,76.5,82.3,7.1
1992,8,5,viña del mar,189.0,0.442,153.9,10.7,7.3,53.7,63.4,50.6,0.407,49.7,53.5,4.6
1996,8,5,viña del mar,218.1,0.510,177.6,12.4,8.5,61.9,73.1,58.3,0.470,57.4,61.7,5.3
2000,8,5,viña del mar,232.6,0.544,189.4,13.2,9.0,66.1,78.0,62.2,0.501,61.2,65.8,5.7
2004,8,5,viña del mar,247.2,0.578,201.3,14.0,9.6,70.2,82.9,66.1,0.532,65.0,70.0,6.0
2008,8,5,viña del mar,261.7,0.612,213.1,14.8,10.2,74.3,87.8,70.0,0.563,68.9,74.1,6.4
2016,8,5,viña del mar,334.4,0.782,272.3,19.0,13.0,95.0,112.1,89.5,0.720,88.0,94.6,8.2
2012,8,13,quinta normal,87.0,0.677,198.5,9.9,10.5,84.4,98.3,76.0,0.583,101.6,81.0,7.1
1992,8,13,quinta normal,56.6,0.440,129.0,6.4,6.8,54.9,63.9,49.4,0.379,66.0,52.6,4.6
1996,8,13,quinta normal,65.2,0.508,148.9,7.4,7.9,63.3,73.7,57.0,0.437,76.2,60.8,5.3
2000,8,13,quinta normal,69.6,0.542,158.8,7.9,8.4,67.5,78.6,60.8,0.466,81.3,64.8,5.7
2004,8,13,quinta normal,74.0,0.575,168.7,8.4,8.9,71.7,83.6,64.6,0.496,86.4,68.8,6.0
